Sampling	Lat	Long
Community	28.270833	-16.639167
Community	28.270833	-16.639167
Community	59.734167	10.046667
Community	60	7
Community	61.1575	7.172778
Community	27.002456	100.180517
Community	71	-52
Community	43.935278	3.512778
Community	49.235278	1.404444
Community	50.2475	2.201389
Community	-21.8	-41.433333
Community	-0.616667	-90.3
Community	-34.166667	-69.7
Community	-33.000001	-69.283333
Community	51.433333	-2.666667
Community	4.033333	113.833333
Community	36.016667	-78.983333
Community	48.116667	16.733333
Community	-30.000001	-51.3
Community	-20.416667	57.716667
Community	39.433333	-31.183333
Community	74.500001	-21
Community	50.756722	-115.285333
Community	8.766667	-70.883333
Community	17.916667	-76.2
Community	38.000001	23.633333
Community	-9.942778	-38.988056
Community	-30.333333	-50.833333
Community	37.7	-119.55
Community	-31.962778	115.831299
Community	-15.933333	-47.883333
Community	50.201429	17.412062
Community	8.933333	-67.416667
Community	5.583333	-61.716667
Community	78.883333	-75.916667
Community	-10.793611	-42.823611
Community	45.550001	-84.666667
Community	40.133333	-88.15
Community	-7.376542	-39.304806
Community	-30.086389	-51.094167
Community	45.250001	-110.75
